date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-11-06,2122,La Liga,Celta,Barcelona,OVER25,0.35,2.857142857142857,2.7210884353741496,1.7210884353741496
2021-11-06,2122,La Liga,Celta,Barcelona,UNDER25,0.65,1.5384615384615383,1.4652014652014649,-1.0
2021-11-06,2122,La Liga,Celta,Barcelona,BTTS_YES,0.4,2.5,2.380952380952381,1.380952380952381
2021-11-06,2122,La Liga,Celta,Barcelona,BTTS_NO,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-11-06,2122,La Liga,Espanol,Granada,OVER25,0.45,2.2222222222222223,2.1164021164021163,-1.0
2021-11-06,2122,La Liga,Espanol,Granada,UNDER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-11-06,2122,La Liga,Espanol,Granada,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-11-06,2122,La Liga,Espanol,Granada,BTTS_NO,0.4,2.5,2.380952380952381,1.380952380952381
2021-11-06,2122,La Liga,Real Madrid,Vallecano,OVER25,0.6499999999999999,1.5384615384615388,1.4652014652014655,0.46520146520146555
2021-11-06,2122,La Liga,Real Madrid,Vallecano,UNDER25,0.3500000000000001,2.8571428571428563,2.7210884353741487,-1.0
2021-11-06,2122,La Liga,Real Madrid,Vallecano,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-11-06,2122,La Liga,Real Madrid,Vallecano,BTTS_NO,0.4,2.5,2.380952380952381,-1.0
