league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
La Liga,UNDER25,0.05,2324,132,-5.169999999999999,-0.03916666666666666,0.5075757575757576,2.02030303030303
La Liga,UNDER25,0.05,2425,111,-2.9300000000000024,-0.026396396396396418,0.4864864864864865,2.1447747747747745
La Liga,UNDER25,0.05,2526,125,4.130000000000001,0.03304000000000001,0.496,2.18016
La Liga,TUTTI,0.05,TOTALE,1162,-4.6899999999999995,-0.0040361445783132525,0.4974182444061962,2.095172117039587
La Liga,TUTTI,0.05,2122,179,16.200000000000003,0.0905027932960894,0.547486033519553,2.020782122905028
La Liga,TUTTI,0.05,2223,238,4.559999999999999,0.01915966386554621,0.5294117647058824,1.9988235294117647
La Liga,TUTTI,0.05,2324,240,-22.240000000000006,-0.09266666666666669,0.4666666666666667,2.076625
La Liga,TUTTI,0.05,2425,258,6.189999999999999,0.023992248062015498,0.49224806201550386,2.1898449612403104
La Liga,TUTTI,0.05,2526,247,-9.399999999999999,-0.038056680161943315,0.46558704453441296,2.161052631578947
Ligue 1,OVER25,0.05,TOTALE,498,-32.28,-0.06481927710843374,0.5080321285140562,1.8646787148594375
Ligue 1,OVER25,0.05,2122,56,-4.710000000000001,-0.08410714285714287,0.4642857142857143,1.9492857142857143
Ligue 1,OVER25,0.05,2223,140,-2.4600000000000026,-0.01757142857142859,0.5357142857142857,1.8519285714285718
Ligue 1,OVER25,0.05,2324,104,-2.5100000000000007,-0.02413461538461539,0.5192307692307693,1.896346153846154
Ligue 1,OVER25,0.05,2425,123,-8.780000000000001,-0.07138211382113822,0.5121951219512195,1.8517886178861787
Ligue 1,OVER25,0.05,2526,75,-13.82,-0.18426666666666666,0.4666666666666667,1.8025333333333333
Ligue 1,UNDER25,0.05,TOTALE,492,-46.650000000000006,-0.09481707317073172,0.43089430894308944,2.2021341463414634
Ligue 1,UNDER25,0.05,2122,125,-10.280000000000001,-0.08224000000000001,0.456,2.1066400000000005
Ligue 1,UNDER25,0.05,2223,86,-19.86,-0.23093023255813952,0.36046511627906974,2.2665116279069766
Ligue 1,UNDER25,0.05,2324,97,-5.349999999999997,-0.0551546391752577,0.4742268041237113,2.068556701030928
Ligue 1,UNDER25,0.05,2425,85,-13.830000000000002,-0.1627058823529412,0.36470588235294116,2.3858823529411763
Ligue 1,UNDER25,0.05,2526,99,2.67,0.02696969696969697,0.47474747474747475,2.23989898989899
Ligue 1,TUTTI,0.05,TOTALE,990,-78.93,-0.07972727272727273,0.4696969696969697,2.032383838383838
Ligue 1,TUTTI,0.05,2122,181,-14.989999999999998,-0.08281767955801105,0.4585635359116022,2.0579558011049723
Ligue 1,TUTTI,0.05,2223,226,-22.320000000000004,-0.09876106194690268,0.4690265486725664,2.0096902654867255
Ligue 1,TUTTI,0.05,2324,201,-7.86,-0.0391044776119403,0.4975124378109453,1.979452736318408
Ligue 1,TUTTI,0.05,2425,208,-22.610000000000007,-0.10870192307692311,0.4519230769230769,2.0700480769230767
Ligue 1,TUTTI,0.05,2526,174,-11.150000000000002,-0.06408045977011495,0.47126436781609193,2.051379310344828
TUTTI,OVER25,0.05,TOTALE,2669,-139.28,-0.05218433870363432,0.5114275009366804,1.901386286998876
TUTTI,OVER25,0.05,2122,363,-14.019999999999998,-0.038622589531680435,0.509641873278237,1.9112396694214875
TUTTI,OVER25,0.05,2223,550,-24.200000000000003,-0.044000000000000004,0.5181818181818182,1.8782181818181818
TUTTI,OVER25,0.05,2324,587,-32.669999999999995,-0.05565587734241907,0.5281090289608177,1.8582793867120952
TUTTI,OVER25,0.05,2425,600,-34.20000000000001,-0.057000000000000016,0.505,1.9205999999999999
TUTTI,OVER25,0.05,2526,569,-34.19,-0.060087873462214406,0.4956063268892794,1.9417047451669593
TUTTI,UNDER25,0.05,TOTALE,2640,-135.26,-0.05123484848484848,0.4571969696969697,2.194219696969697
TUTTI,UNDER25,0.05,2122,483,-15.380000000000006,-0.03184265010351968,0.46790890269151136,2.1778467908902694
TUTTI,UNDER25,0.05,2223,577,-35.730000000000004,-0.06192374350086656,0.4610051993067591,2.123864818024264
TUTTI,UNDER25,0.05,2324,508,-26.759999999999998,-0.0526771653543307,0.46062992125984253,2.2156692913385827
TUTTI,UNDER25,0.05,2425,521,-31.68,-0.06080614203454894,0.43761996161228406,2.2930326295585415
TUTTI,UNDER25,0.05,2526,551,-25.71,-0.04666061705989111,0.4591651542649728,2.1690381125226863
TUTTI,TUTTI,0.05,TOTALE,5309,-274.54,-0.0517121868525146,0.48446035034846485,2.047003202109625
TUTTI,TUTTI,0.05,2122,846,-29.40000000000001,-0.0347517730496454,0.4858156028368794,2.0634515366430257
TUTTI,TUTTI,0.05,2223,1127,-59.93000000000001,-0.05317657497781722,0.4889086069210293,2.0039840283939663
TUTTI,TUTTI,0.05,2324,1095,-59.43,-0.05427397260273972,0.4968036529680365,2.024082191780822
TUTTI,TUTTI,0.05,2425,1121,-65.88000000000001,-0.05876895628902766,0.47368421052631576,2.093693131132917
TUTTI,TUTTI,0.05,2526,1120,-59.89999999999999,-0.053482142857142846,0.47767857142857145,2.0535446428571427
Premier League,OVER25,0.07,TOTALE,479,-50.3,-0.10501043841336116,0.511482254697286,1.7689352818371609
Premier League,OVER25,0.07,2122,66,-1.1200000000000006,-0.01696969696969698,0.5151515151515151,1.918333333333333
Premier League,OVER25,0.07,2223,98,-21.2,-0.21632653061224488,0.4387755102040816,1.8060204081632654
